Index,target,load,SensorI,SensorII,SensorIII,SensorIV,sum_Sensor,ABSsum_Sensor,median_Sensor,SensorI^2,SensorII^2,SensorIII^2,SensorIV^2,SensorI^3,SensorII^3,SensorIII^3,SensorIV^3,Multi_Sensor
52,0,20,16.9503,0.659827,-3.46938,-0.301732,13.839015,21.381239,0.1790475,287.3126701,0.43537167,12.03659758,0.0910422,4870.035952,0.287269983,-41.75953093,-0.027470345,11.70794609
53,0,0,0.624158,-2.27335,-0.937385,-0.781332,-3.367909,4.616225,-0.8593585,0.389573209,5.168120223,0.878690638,0.610479694,0.243155235,-11.74894611,-0.823671424,-0.47698732,-1.039236655
54,0,30,1.38876,0.4941,1.40126,1.05723,4.34135,4.34135,1.222995,1.928654338,0.24413481,1.963529588,1.117735273,2.678437998,0.12062701,2.75141547,1.181703263,1.016553538
55,0,20,0.946777,6.34022,-5.04935,2.6973,4.934947,15.033647,1.8220385,0.896386688,40.19838965,25.49593542,7.27542729,0.848678299,254.866634,-128.7379015,19.62401003,-81.75545775
56,0,70,9.87153,3.27002,-11.244,-2.77383,-0.87628,27.15938,0.248095,97.44710454,10.6930308,126.427536,7.694132869,961.9520159,34.96642458,-1421.551215,-21.34221658,1006.782265
57,1,80,3.55089,-1.10755,0.0931178,4.20443,6.7408878,8.9559878,1.8220039,12.60881979,1.226667003,0.008670925,17.67723162,44.77253211,-1.358595039,0.000807417,74.32268296,-1.539715187
58,0,10,-3.50044,2.78803,1.01836,0.676658,0.982608,7.983488,0.847509,12.25308019,7.773111281,1.03705709,0.457866049,-42.89117203,21.67166744,1.056097458,0.309818725,-6.724974373
59,1,70,-0.959838,5.68141,-2.42214,1.53953,3.838962,10.602918,0.289846,0.921288986,32.27841959,5.86676218,2.370152621,-0.884288178,183.3869358,-14.21011935,3.648921064,20.33487322
60,1,80,1.92022,-0.85017,-4.317,2.23207,-1.01488,9.31946,0.535025,3.687244848,0.722789029,18.636489,4.982136485,7.080321303,-0.614493549,-80.45372301,11.12047738,15.73064839
61,1,10,-7.52185,1.46141,-1.62544,-0.318613,-8.004493,10.927313,-0.9720265,56.57822742,2.135719188,2.642055194,0.101514244,-425.5729399,3.121161379,-4.294502194,-0.032343758,-5.692868841
62,0,70,8.44677,-0.0757123,3.07664,-4.62587,6.8218277,16.2249923,1.50046385,71.34792343,0.005732352,9.46571369,21.39867326,602.6594992,-0.00043401,29.12259337,-98.98748066,9.101798445
63,1,10,-0.269189,-0.104606,0.666577,1.06169,1.354472,2.102062,0.2809855,0.072462718,0.010942415,0.444324897,1.127185656,-0.019506167,-0.001144642,0.296176757,1.196721739,0.019927919
64,0,60,-5.0813,-6.08228,0.618414,-17.8535,-28.398666,29.635494,-5.58179,25.81960969,36.99413,0.382435875,318.7474623,-131.1971827,-225.008657,0.236503699,-5690.757817,-341.227423
65,1,10,1.57824,2.88225,-7.84654,-3.33795,-6.724,15.64498,-0.879855,2.490841498,8.307365063,61.56818997,11.1419102,3.931145685,23.94390295,-483.0972653,-37.19113916,119.1414041
66,1,80,2.31751,-1.22641,-7.94248,0.304263,-6.547117,11.790663,-0.4610735,5.3708526,1.504081488,63.08298855,0.092575973,12.44700461,-1.844620578,-501.0353749,0.028167443,6.868510599
67,1,0,3.14399,-8.47447,-7.06171,-6.01413,-18.40632,24.6943,-6.53792,9.88467312,71.81664178,49.86774812,36.16975966,31.07731344,-608.6079763,-352.1515756,-217.5296366,-1131.556888
68,1,40,3.90294,3.2005,-8.14578,-3.1079,-4.15024,18.35712,0.0463,15.23294064,10.24320025,66.35373181,9.65904241,59.45325336,32.7833624,-540.5029015,-30.01933791,316.2346248
69,1,30,-4.34068,4.42165,0.129973,2.86328,3.074223,11.755583,1.4966265,18.84150286,19.55098872,0.016892981,8.198372358,-81.78493464,86.44762928,0.002195631,23.47423561,-7.1426455
70,1,90,-7.14016,-5.3493,-8.36025,-5.15606,-26.00577,26.00577,-6.24473,50.98188483,28.61501049,69.89378006,26.58495472,-364.0188148,-153.0702756,-584.3294748,-137.0736217,1646.425658
71,0,20,-7.32291,-3.61806,1.31251,0.269933,-9.358527,12.523413,-1.6740635,53.62501087,13.09035816,1.7226825,0.072863824,-392.6911283,-47.36170126,2.261038008,0.019668351,9.386810786
72,0,20,-7.06737,6.64093,2.41074,-3.94729,-1.96299,20.06633,-0.768275,49.94771872,44.10195126,5.811667348,15.58109834,-352.9990088,292.8779712,14.01041894,-61.50311368,446.6179147
73,1,10,-3.47593,1.87269,-3.39464,1.81996,-3.17792,10.56322,-0.78734,12.08208936,3.506967836,11.52358073,3.312254402,-41.99649689,6.567463597,-39.11840809,6.028170521,40.21540813
74,1,10,7.21866,-0.18548,-1.98134,1.1865,6.23834,10.57198,0.50051,52.1090522,0.03440283,3.925708196,1.40778225,376.1575307,-0.006381037,-7.778162676,1.67033364,3.147606432
75,1,50,1.10259,-1.41418,-1.20406,1.66358,0.14793,5.38441,-0.050735,1.215704708,1.999905072,1.449760484,2.767498416,1.340423854,-2.828225755,-1.745598608,4.603955016,3.123277408
76,0,30,-4.92355,7.17273,-3.27904,2.35934,1.32948,17.73466,-0.45985,24.2413446,51.44805565,10.75210332,5.566485236,-119.3534722,369.0230122,-35.25657688,13.13323128,273.2121954
77,1,0,-4.07747,-0.635609,-0.194148,2.83791,-2.069317,7.745137,-0.4148785,16.6257616,0.403998801,0.037693446,8.053733168,-67.79104415,-0.256785274,-0.007318107,22.8557699,-1.427947866
78,1,40,-1.21847,3.19816,0.543731,1.55789,4.081311,6.518251,1.0508105,1.484669141,10.22822739,0.2956434,2.427021252,-1.809024808,32.7115077,0.160750482,3.781032138,-3.300926939
79,0,0,-0.437975,1.82734,-1.13087,0.39466,0.653155,3.790845,-0.0216575,0.191822101,3.339171476,1.278866957,0.155756516,-0.084013285,6.101801604,-1.446232276,0.061470866,0.357194265
80,0,0,1.63774,-1.81242,3.0719,2.3203,5.21752,8.84236,1.97902,2.682192308,3.284866256,9.43656961,5.38379209,4.39273363,-5.9535573,28.98819818,12.49201279,-21.15704532
81,1,50,-1.83466,3.76536,1.43944,3.27649,6.64663,10.31595,2.357965,3.365977316,14.17793593,2.071987514,10.73538672,-6.175423942,53.38503283,2.982501707,35.17438723,-32.58100758
82,1,20,-4.01261,1.41884,1.5138,2.27887,1.1989,9.22412,1.46632,16.10103901,2.013106946,2.29159044,5.193248477,-64.60719015,2.856276659,3.469009608,11.83473816,-19.640314
83,0,80,3.18231,3.19007,1.89962,-2.25295,6.01905,10.52495,2.540965,10.12709694,10.1765466,3.608556144,5.075783702,32.22756185,32.46389603,6.854885423,-11.43548689,-43.44711898
84,1,20,2.11551,4.41528,-6.6836,-1.59894,-1.75175,14.81333,0.258285,4.47538256,19.49469748,44.67050896,2.556609124,9.46771656,86.07454788,-298.5598137,-4.087864592,99.81962873
85,0,90,-4.44075,0.234054,-0.567124,-11.0544,-15.82822,16.296328,-2.503937,19.72026056,0.054781275,0.321629631,122.1997594,-87.57274709,0.012821777,-0.182403883,-1350.84502,-6.516067792
86,1,80,9.01254,2.08669,0.817659,5.75177,17.668659,17.668659,3.91923,81.22587725,4.354275156,0.66856624,33.08285813,732.0514678,9.086022425,0.546659203,190.2849909,88.4461377
87,0,60,-0.870772,4.14911,0.213936,2.19921,5.691484,7.433028,1.206573,0.758243876,17.21511379,0.045768612,4.836524624,-0.660257536,71.42740079,0.009791554,10.63653332,-1.699847566
88,1,90,8.67048,-4.72679,1.21208,3.02583,8.1816,17.63518,2.118955,75.17722343,22.3425437,1.469137926,9.155647189,651.8226122,-105.6085122,1.780712698,27.70343193,-150.3090945
89,1,90,6.29613,7.74464,2.05834,7.13579,23.2349,23.2349,6.71596,39.64125298,59.97944873,4.236763556,50.91949892,249.5864821,464.5192378,8.720699897,363.3508512,716.1996361
90,0,80,7.48976,3.27488,4.76515,-4.35899,11.1708,19.88878,4.020015,56.09650486,10.72483901,22.70665452,19.00079382,420.1493582,35.12256079,108.2006148,-82.82427025,-509.478359
91,1,80,6.41895,-2.09794,-3.78549,-3.38421,-2.84869,15.68659,-2.741075,41.2029191,4.401352244,14.32993454,11.45287732,264.4794776,-9.233772926,-54.2458239,-38.75894197,-172.518814
92,0,10,-0.62126,-13.1097,0.224874,-3.32782,-16.833906,17.283654,-1.97454,0.385963988,171.8642341,0.050568316,11.07438595,-0.239783987,-2253.08855,0.011371499,-36.85356306,-6.094880829
93,0,50,3.36721,2.84261,1.89025,-1.35454,6.74553,9.45461,2.36643,11.33810318,8.080431612,3.573045063,1.834778612,38.17777442,22.9695157,6.753948429,-2.485281021,-24.50747471
94,0,30,22.0201,7.65433,-8.81978,-1.28464,19.57001,39.77885,3.184845,484.884804,58.58876775,77.78851925,1.65029993,10677.21187,448.4577626,-686.0776263,-2.120041302,1909.702258
95,0,70,3.35749,0.969101,-8.67076,1.57799,-2.766179,14.575341,1.2735455,11.2727391,0.939156748,75.18207898,2.49005244,37.8481088,0.910137744,-651.8857631,3.92927785,-44.51897757
96,0,20,1.69685,5.91761,1.80363,1.53945,10.95754,10.95754,1.75024,2.879299923,35.01810811,3.253081177,2.369906303,4.885740073,207.2235067,5.867354803,3.648352257,27.8806459
97,1,80,0.328692,-4.09365,-0.0333576,-0.341096,-4.1394116,4.7967956,-0.1872268,0.108038431,16.75797032,0.001112729,0.116346481,0.035511368,-68.60126521,-3.71E-05,-0.039685319,-0.015309862
98,0,70,4.85523,4.05705,3.6508,2.7612,15.32428,15.32428,3.853925,23.57325835,16.4596547,13.32834064,7.62422544,114.4535912,66.77764211,48.65910601,21.05201128,198.5665429
99,0,90,-5.11031,3.07713,3.00937,7.119,8.09519,18.31581,3.04325,26.1152683,9.468729037,9.056307797,50.680161,-133.4571167,29.13651018,27.25378099,360.7920662,-336.8896514
100,0,30,-7.85025,0.629732,-12.19,-3.68079,-23.091308,24.350772,-5.76552,61.62642506,0.396562392,148.5961,13.54821502,-483.7828433,0.249728028,-1811.386459,-49.86813438,-221.811468
101,1,30,-1.02916,-0.0226959,0.926247,0.103808,-0.0218009,2.0819109,0.04055605,1.059170306,0.000515104,0.857933505,0.010776101,-1.090055712,-1.17E-05,0.794658335,0.001118645,0.002245887
102,0,40,5.0931,-0.61572,0.431883,0.213489,5.122752,6.354192,0.322686,25.93966761,0.379111118,0.186522926,0.045577553,132.1133211,-0.233426298,0.080556081,0.009730306,-0.289139268
103,0,80,-5.41643,-1.41543,5.78707,5.96447,4.91968,18.5834,2.18582,29.33771394,2.003442085,33.49017918,35.57490238,-158.9056739,-2.83573203,193.8100113,212.185438,264.6257642
104,1,70,-0.960035,0.145679,-2.55376,2.99581,-0.372306,6.655284,-0.407178,0.921667201,0.021222371,6.521690138,8.974877556,-0.884832772,0.003091654,-16.65483141,26.88702793,1.069986663
105,0,80,3.76702,2.08817,-3.8033,0.0618855,2.1137755,9.7203755,1.07502775,14.19043968,4.360453949,14.46509089,0.003829815,53.45567008,9.105369122,-55.01508018,0.00023701,-1.851455447
106,0,90,-4.83208,3.27011,2.24322,5.02315,5.7044,15.36856,2.756665,23.34899713,10.69361941,5.032035968,25.23203592,-112.824222,34.96931178,11.28796373,126.7443012,-178.0510311
107,1,0,3.54151,-2.66193,-2.8892,1.43045,-0.57917,10.52309,-0.61574,12.54229308,7.085871325,8.34747664,2.046187203,44.41865637,-18.86209346,-24.11752951,2.926968484,38.96147513
108,1,10,0.144676,-2.76211,0.0356787,-6.73199,-9.3137453,9.6744547,-1.36321565,0.020931145,7.629251652,0.00127297,45.31968936,0.003028234,-21.07283228,4.54E-05,-305.0916956,0.095982034
109,1,10,3.53067,-0.677669,0.161571,-1.59389,1.420682,5.9638,-0.258049,12.46563065,0.459235274,0.026105188,2.540485332,44.01202816,-0.311209509,0.004217841,-4.049254166,0.616164262
110,0,90,1.07989,1.18159,0.933226,-2.27719,0.917516,5.471896,1.006558,1.166162412,1.396154928,0.870910767,5.185594296,1.259327127,1.649682701,0.812756572,-11.80858348,-2.711642451
111,1,90,9.1463,-4.41455,6.99027,-11.202,0.52002,31.75312,1.28786,83.65480369,19.4882517,48.86387467,125.484804,765.131931,-86.03186155,341.5716772,-1405.680774,3161.705403
112,0,70,-0.0811485,0.853444,-2.12982,-7.99304,-9.3505645,11.0574525,-1.10548425,0.006585079,0.728366661,4.536133232,63.88868844,-0.000534369,0.621620157,-9.661147281,-510.6648423,-1.178990792
113,1,30,-1.11608,3.37309,-4.81291,-0.424668,-2.980568,9.726748,-0.770374,1.245634566,11.37773615,23.16410267,0.18034291,-1.390227827,38.37812802,-111.4867414,-0.076585863,-7.694502272
114,1,80,3.82739,-2.49524,6.06212,1.08634,8.48061,13.47109,2.456865,14.64891421,6.226222658,36.74929889,1.180134596,56.06710777,-15.53591982,222.7786598,1.282027417,-62.89343886
115,0,20,-5.02716,1.70715,1.15185,2.05963,-0.10853,9.94579,1.4295,25.27233767,2.914361123,1.326758423,4.242075737,-127.048085,4.97525159,1.528226689,8.73710645,-20.36008214
116,1,80,1.34347,-6.60354,-0.148379,-2.68809,-8.096539,10.783479,-1.4182345,1.804911641,43.60674053,0.022016328,7.225827848,2.424844642,-287.9588554,-0.003266761,-19.42367558,-3.538514918
117,0,50,-2.57338,-4.78841,-1.13001,-2.93334,-11.42514,11.42514,-2.75336,6.622284624,22.92887033,1.2769226,8.604483556,-17.04165481,-109.792832,-1.442935307,-25.23987579,40.84509793
118,1,90,1.29821,-1.04791,-1.64465,0.940028,-0.454322,4.930798,-0.053941,1.685349204,1.098115368,2.704873622,0.883652641,2.18793719,-1.150726075,-4.448570403,0.830658225,2.10321279
119,0,80,1.33457,-0.158948,2.13578,-0.0834053,3.2279967,3.7127033,0.62558235,1.781077085,0.025264467,4.561556208,0.006956444,2.376972045,-0.004015736,9.742480519,-0.000580204,0.037787363
120,1,90,-10.2196,6.99253,-7.28033,-1.21356,-11.72096,25.70602,-4.246945,104.4402242,48.8954758,53.00320491,1.472727874,-1067.337315,341.9030814,-385.8808228,-1.787243638,-631.365075
121,1,80,-5.44379,3.00503,-2.78019,-0.946132,-6.165082,12.175142,-1.863161,29.63484956,9.030205301,7.729456436,0.895165761,-161.3258977,27.13603784,-21.48935749,-0.846944972,-43.03049914
122,0,60,-6.08752,4.77835,1.89557,-3.41857,-2.83217,16.18001,-0.7615,37.05789975,22.83262872,3.593185625,11.68662084,-225.5907059,109.1022915,6.811134875,-39.95153142,188.4962273
123,1,20,2.15202,-0.536182,-0.339241,-1.13246,0.144137,4.159903,-0.4377115,4.63119008,0.287491137,0.115084456,1.282465652,9.966413677,-0.154147573,-0.039041366,-1.452341052,-0.443291842
124,1,80,6.11832,-8.59231,3.12116,-5.95217,-5.305,23.78396,-1.415505,37.43383962,73.82779114,9.741639746,35.42832771,229.0322096,-634.3512681,30.40521631,-210.8754293,976.6376986
125,1,90,-0.66936,-4.23438,-2.90487,3.08956,-4.71905,10.89817,-1.787115,0.44804281,17.92997398,8.438269717,9.545380994,-0.299901935,-75.92232324,-24.51207655,29.4910273,-25.43741181
126,1,50,3.85161,1.23964,2.59953,-0.5339,7.15688,8.22468,1.919585,14.83489959,1.53670733,6.757556221,0.28504921,57.13824762,1.904963874,17.56647012,-0.152187773,-6.626628769
127,0,0,-0.193872,1.69046,-0.502302,0.907935,1.902221,3.294569,0.3570315,0.037586352,2.857655012,0.252307299,0.824345964,-0.007286941,4.830751491,-0.126734461,0.748452553,0.149465051
128,0,70,-6.24035,-0.678977,-0.391472,0.482102,-6.828697,7.792901,-0.5352245,38.94196812,0.461009767,0.153250327,0.232422338,-243.0115108,-0.313015028,-0.059993212,0.112051274,-0.799656827
129,1,10,0.399095,-2.84762,1.01169,-0.981189,-2.418024,5.239594,-0.291047,0.159276819,8.108939664,1.023516656,0.962731854,0.063566582,-23.09117877,1.035481566,-0.944621905,1.128128184
130,0,30,0.996701,-1.46914,0.125046,0.608653,0.26126,3.19954,0.3668495,0.993412883,2.15837234,0.015636502,0.370458474,0.990135614,-3.170951139,0.001955282,0.225480662,-0.111446812
131,0,80,1.34358,-2.93814,0.352649,2.5272,1.285289,7.161569,0.8481145,1.805207216,8.63266666,0.124361317,6.38673984,2.425440312,-25.36398322,0.043855894,16.14056892,-3.518181866
132,1,40,-1.68107,2.68161,2.15546,0.229501,3.385501,6.747641,1.1924805,2.825996345,7.191032192,4.646007812,0.052670709,-4.750697676,19.28354384,10.014284,0.01208798,-2.230005655
133,1,10,3.36018,3.53589,-5.47172,3.55193,4.97628,15.91972,3.448035,11.29080963,12.50251809,29.93971976,12.61620672,37.93915271,44.2075287,-163.8217634,44.81188315,-230.9136213
134,1,80,-1.77391,0.818127,2.12096,-0.561229,0.603948,5.274226,0.128449,3.146756688,0.669331788,4.498471322,0.31497799,-5.582063157,0.547598408,9.541077734,-0.176774783,1.727527182
135,0,40,2.27634,-0.405185,0.179034,-5.50625,-3.456061,8.366809,-0.1130755,5.181723796,0.164174884,0.032053173,30.31878906,11.79536514,-0.0665212,0.005738608,-166.9428323,0.909247111
136,0,80,3.09572,-2.93204,-6.1225,0.60793,-5.35089,12.75819,-1.162055,9.583482318,8.596858562,37.48500625,0.369578885,29.66777788,-25.20633318,-229.5019508,0.224678091,33.78422283
